"Time","Source","No.","Destination","Protocol","Length","Info"
"30.033472","192.167.6.248","26","192.167.255.255","BROWSER","243","Host Announcement DESKTOP-099UQRG, Workstation, Server, NT Workstation"
"30.323602","VMware_8a:5c:e6","27","Broadcast","ARP","60","Who has 192.167.0.1? Tell 0.0.0.0"
"30.583281","fe80::a4bd:8816:f7b7:d782","28","ff02::1","ICMPv6","86","Neighbor Advertisement fe80::a4bd:8816:f7b7:d782 (ovr) is at 00:50:56:8a:a0:c6"
"30.757430","VMware_8a:a0:c6","29","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"31.757558","VMware_8a:a0:c6","30","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"32.401672","VMware_8a:5c:e6","31","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"33.403662","VMware_8a:5c:e6","32","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"33.757757","VMware_8a:a0:c6","33","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"34.405910","VMware_8a:5c:e6","34","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"36.076280","VMware_8a:a0:c6","35","Broadcast","ARP","60","Who has 169.254.246.7? (ARP Probe)"
"36.686571","192.167.8.160","36","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"36.758006","VMware_8a:a0:c6","37","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"37.076779","VMware_8a:a0:c6","38","Broadcast","ARP","60","Who has 169.254.246.7? (ARP Probe)"
"37.435604","192.167.8.160","39","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"37.822733","192.167.8.170","40","192.167.255.255","NBNS","92","Name query NB ISATAP<00>"
"37.822764","192.167.8.170","41","192.167.255.255","NBNS","92","Name query NB ISATAP<00>"
"38.084320","VMware_8a:a0:c6","42","Broadcast","ARP","60","Who has 169.254.246.7? (ARP Probe)"
"38.244600","192.167.8.160","43","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"38.631324","192.167.8.170","44","192.167.255.255","NBNS","92","Name query NB ISATAP<00>"
"38.631389","192.167.8.170","45","192.167.255.255","NBNS","92","Name query NB ISATAP<00>"
"38.899245","0.0.0.0","46","255.255.255.255","DHCP","364","DHCP Request  - Transaction ID 0x10174903"
"39.084263","VMware_8a:a0:c6","47","Broadcast","ARP","60","Who has 192.167.7.175? (ARP Probe)"
"39.391501","192.167.8.170","48","192.167.255.255","NBNS","92","Name query NB ISATAP<00>"
"39.407122","192.167.8.170","49","192.167.255.255","NBNS","92","Name query NB ISATAP<00>"
"39.473232","VMware_8a:65:fb","50","Broadcast","RARP","60","Who is 00:50:56:8a:65:fb? Tell 00:50:56:8a:65:fb"
"39.774424","192.167.7.175","51","192.167.255.255","NBNS","110","Registration NB DESKTOP-099UQRG<00>"
"39.775034","192.167.7.175","52","192.167.255.255","NBNS","110","Registration NB WORKGROUP<00>"
"39.926040","192.167.8.65","53","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"40.084386","VMware_8a:a0:c6","54","Broadcast","ARP","60","Who has 192.167.7.175? (ARP Probe)"
"40.333436","VMware_8a:5c:e6","55","Broadcast","ARP","60","Who has 192.167.7.175? Tell 192.167.0.1"
"40.537579","192.167.7.175","56","192.167.255.255","NBNS","110","Registration NB WORKGROUP<00>"
"40.716283","192.167.8.65","57","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"41.084310","VMware_8a:a0:c6","58","Broadcast","ARP","60","Who has 192.167.7.175? (ARP Probe)"
"41.287687","192.167.7.175","59","192.167.255.255","NBNS","110","Registration NB WORKGROUP<00>"
"41.371932","192.167.7.175","60","192.167.255.255","NBNS","110","Registration NB DESKTOP-099UQRG<20>"
"41.487074","192.167.8.65","61","192.167.255.255","NBNS","92","Name query NB WPAD<00>"
"41.758316","VMware_8a:a0:c6","62","Broadcast","RARP","60","Who is 00:50:56:8a:a0:c6? Tell 00:50:56:8a:a0:c6"
"42.053164","192.167.7.175","63","192.167.255.255","NBNS","110","Registration NB WORKGROUP<00>"
"42.084144","VMware_8a:a0:c6","64","Broadcast","ARP","60","ARP Announcement for 192.167.7.175"
"42.531677","192.167.7.157","65","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.531767","192.167.7.157","66","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538248","192.167.7.157","67","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538251","192.167.7.157","68","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538517","192.167.7.157","69","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538520","192.167.7.157","70","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538522","192.167.7.157","71","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538524","192.167.7.157","72","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538797","192.167.7.157","73","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538799","192.167.7.157","74","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538802","192.167.7.157","75","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538804","192.167.7.157","76","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538806","192.167.7.157","77","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.538808","192.167.7.157","78","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539080","192.167.7.157","79","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539083","192.167.7.157","80","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539085","192.167.7.157","81","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539087","192.167.7.157","82","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539089","192.167.7.157","83","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539091","192.167.7.157","84","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539291","192.167.7.157","85","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539293","192.167.7.157","86","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539297","192.167.7.157","87","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539299","192.167.7.157","88","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539301","192.167.7.157","89","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539495","192.167.7.157","90","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539498","192.167.7.157","91","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539500","192.167.7.157","92","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539502","192.167.7.157","93","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539504","192.167.7.157","94","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.539610","192.167.7.157","95","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548168","192.167.7.157","96","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548171","192.167.7.157","97","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548420","192.167.7.157","98","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548423","192.167.7.157","99","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548425","192.167.7.157","100","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548427","192.167.7.157","101","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.548429","192.167.7.157","102","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.553678","192.167.7.157","103","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.553811","192.167.7.157","104","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.553814","192.167.7.157","105","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.554906","192.167.7.157","106","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555108","192.167.7.157","107","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555111","192.167.7.157","108","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555113","192.167.7.157","109","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555115","192.167.7.157","110","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555274","192.167.7.157","111","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555277","192.167.7.157","112","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555279","192.167.7.157","113","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555512","192.167.7.157","114","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555515","192.167.7.157","115","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555517","192.167.7.157","116","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555519","192.167.7.157","117","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555522","192.167.7.157","118","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555910","192.167.7.157","119","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555912","192.167.7.157","120","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555915","192.167.7.157","121","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555917","192.167.7.157","122","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555919","192.167.7.157","123","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555921","192.167.7.157","124","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555923","192.167.7.157","125","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555925","192.167.7.157","126","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555927","192.167.7.157","127","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.555929","192.167.7.157","128","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556443","192.167.7.157","129","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556445","192.167.7.157","130","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556447","192.167.7.157","131","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556449","192.167.7.157","132","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556451","192.167.7.157","133","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556453","192.167.7.157","134","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556455","192.167.7.157","135","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556457","192.167.7.157","136","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556459","192.167.7.157","137","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556461","192.167.7.157","138","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556464","192.167.7.157","139","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556466","192.167.7.157","140","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556469","192.167.7.157","141","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.556471","192.167.7.157","142","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557219","192.167.7.157","143","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557222","192.167.7.157","144","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557224","192.167.7.157","145","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557226","192.167.7.157","146","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557229","192.167.7.157","147","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557231","192.167.7.157","148","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557233","192.167.7.157","149","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557236","192.167.7.157","150","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557237","192.167.7.157","151","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557239","192.167.7.157","152","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557242","192.167.7.157","153","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557243","192.167.7.157","154","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557246","192.167.7.157","155","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557247","192.167.7.157","156","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557249","192.167.7.157","157","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557252","192.167.7.157","158","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557253","192.167.7.157","159","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557256","192.167.7.157","160","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557258","192.167.7.157","161","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557260","192.167.7.157","162","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.557263","192.167.7.157","163","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558155","192.167.7.157","164","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558159","192.167.7.157","165","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558162","192.167.7.157","166","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558165","192.167.7.157","167","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558168","192.167.7.157","168","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558171","192.167.7.157","169","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558175","192.167.7.157","170","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558178","192.167.7.157","171","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558180","192.167.7.157","172","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558183","192.167.7.157","173","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558186","192.167.7.157","174","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558189","192.167.7.157","175","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558191","192.167.7.157","176","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558194","192.167.7.157","177","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558197","192.167.7.157","178","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558200","192.167.7.157","179","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558204","192.167.7.157","180","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558207","192.167.7.157","181","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558210","192.167.7.157","182","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558213","192.167.7.157","183","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558217","192.167.7.157","184","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558221","192.167.7.157","185","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558224","192.167.7.157","186","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558228","192.167.7.157","187","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558231","192.167.7.157","188","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558234","192.167.7.157","189","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558237","192.167.7.157","190","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558824","192.167.7.157","191","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558827","192.167.7.157","192","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558829","192.167.7.157","193","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558831","192.167.7.157","194","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558834","192.167.7.157","195","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558835","192.167.7.157","196","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558837","192.167.7.157","197","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558839","192.167.7.157","198","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558841","192.167.7.157","199","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558843","192.167.7.157","200","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558846","192.167.7.157","201","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558848","192.167.7.157","202","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558850","192.167.7.157","203","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558852","192.167.7.157","204","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558854","192.167.7.157","205","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558856","192.167.7.157","206","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558858","192.167.7.157","207","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.558860","192.167.7.157","208","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559648","192.167.7.157","209","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559650","192.167.7.157","210","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559653","192.167.7.157","211","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559655","192.167.7.157","212","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559657","192.167.7.157","213","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559659","192.167.7.157","214","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559661","192.167.7.157","215","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559663","192.167.7.157","216","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559665","192.167.7.157","217","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
"42.559667","192.167.7.157","218","255.255.255.255","ICMP","60","Echo (ping) reply    id=0xc0a7, seq=1949/40199, ttl=255"
